"(PDH-CSV 4.0) (Pacific Standard Time)(480)","\\master01\processor(_total)\% processor time","\\master01\logicaldisk(_total)\disk reads/sec","\\master01\logicaldisk(_total)\disk writes/sec","\\master01\sqlserver:databases(_total)\log bytes flushed/sec"
"02/12/2019 12:51:20.164","60.165145123094007","0","1.9992851063270962","0"
"02/12/2019 12:51:21.179","57.681324107849676","0","1.9695159642571405","0"
"02/12/2019 12:51:22.195","62.325672119850836","0","4.9221581836559265","0"
"02/12/2019 12:51:23.212","34.679063885633809","0","1.966951471708047","0"
"02/12/2019 12:51:24.227","0","0","1.9698719426147646","0"
"02/12/2019 12:51:25.243","0.76966066559317481","0","1.9692397118077338","0"
"02/12/2019 12:51:26.258","0","0","2.9540864465334309","0"
"02/12/2019 12:51:27.274","0.015761207759401596","0","1.9688537251014291","0"
"02/12/2019 12:51:28.290","0.0090379523111194793","0","1.9685665218708963","0"
"02/12/2019 12:51:29.306","0.013615376731956896","0","1.9688553164884877","0"
"02/12/2019 12:51:30.320","0","0","1.9717056349941922","0"
"02/12/2019 12:51:31.337","0.088271550953678002","0","4.9184689001398496","0"
"02/12/2019 12:51:32.352","0","0","1.9693272762404628","0"
"02/12/2019 12:51:33.367","0","0","1.970619358199996","0"
"02/12/2019 12:51:34.384","0.067361363112183881","0","1.9679868017462478","0"
"02/12/2019 12:51:35.399","0.016036812409359058","0","3.9372078184735702","0"
"02/12/2019 12:51:36.414","0","0","4.927903873449722","0"
"02/12/2019 12:51:37.430","0","0","1.9692906574394462","0"
"02/12/2019 12:51:38.430","0.0083393045020030421","0","1.999700355468718","0"
"02/12/2019 12:51:39.431","0.081463582740992635","0","1.9985846618367398","0"
"02/12/2019 12:51:40.431","0.0040598351706888636","0","2.9994963600003941","0"
"02/12/2019 12:51:41.446","0","0","2.9543288871567577","0"
"02/12/2019 12:51:42.460","0","0","1.9718381118445232","0"
"02/12/2019 12:51:43.462","0.12296860105838192","0","3.9952008810959243","0"
"02/12/2019 12:51:44.477","0","0","1.9687741590283894","0"
"02/12/2019 12:51:45.493","0.0096975210281180502","0","1.9700440051211254","0"
"02/12/2019 12:51:46.507","0","0","4.9283545356914225","0"
"02/12/2019 12:51:47.508","0.079207212442700126","0","1.9989020155564208","0"
"02/12/2019 12:51:48.509","0.075113537154125609","0","1.9983616724887316","0"
"02/12/2019 12:51:49.524","0","0","1.9701874135059696","0"
"02/12/2019 12:51:50.524","0.019046371666198159","0","1.9997036387578115","0"
"02/12/2019 12:51:51.525","0.072577287116371014","0","17.988560780239961","0"
"02/12/2019 12:51:52.539","0.68893120029703825","0","1.9710698343223658","0"
"02/12/2019 12:51:53.555","2.3462490133126512","0","1.9682499793951715","0"
"02/12/2019 12:51:54.570","2.9417558838371494","0","1.97053964935897","0"
"02/12/2019 12:51:55.570","2.412578408448518","0","1.9997496059372126","0"
"02/12/2019 12:51:56.586","3.1296968258424762","0","5.9039914101021784","0"
"02/12/2019 12:51:57.602","1.5441035157419125","0","1.9695908125571313","0"
"02/12/2019 12:51:58.618","2.2873825146573212","0","1.9693917604831277","0"
"02/12/2019 12:51:59.633","1.5330419170886511","0","1.9696521287013025","0"
"02/12/2019 12:52:00.648","6.8575137837331601","0","4.9262475008322131","0"
"02/12/2019 12:52:01.664","2.295676780337097","0","5.9090638937372564","0"
"02/12/2019 12:52:02.664","0.056587959897103079","0","1.9987970398646713","0"
